,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team,
0,06/07/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,2,1,América,1.2,1.1,37,21480,Julio Domínguez,03/04/2003,4-2-3-1,,Match Report,,11,5,20.7,0,0,0,2024,Atletico,
1,12/07/2024,20:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,D,2,2,Mazatlán,1.9,3.1,47,,Javier Güemez,03/04/2003,4-2-3-1,,Match Report,,10,4,23.2,1,1,1,2024,Atletico,
2,16/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Away,L,0,2,Pachuca,0.4,0.8,57,,Javier Güemez,04/04/2002,4-2-3-1,,Match Report,,10,3,21.1,0,0,0,2024,Atletico,
3,19/07/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,D,1,1,Tijuana,1.1,1.3,40,,Julio Domínguez,03/04/2003,4-2-3-1,,Match Report,,15,5,19.2,0,0,0,2024,Atletico,
4,18/08/2024,20:00,Liga MX,Apertura 2024 Regular Season,Sun,Home,W,4,0,Querétaro,3.3,0.3,51,,Julio Domínguez,4-2-3-1,04/04/2002,,Match Report,,18,4,20.2,3,2,2,2024,Atletico,
5,25/08/2024,13:00,Liga MX,Apertura 2024 Regular Season,Sun,Away,L,1,2,Toluca,1,1.1,54,,Julio Domínguez,4-2-3-1,4-2-3-1,,Match Report,,18,7,18.4,0,0,0,2024,Atletico,
6,30/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,W,2,1,Atlas,0.8,1.5,50,,Javier Güemez,4-2-3-1,4-2-3-1,Jorge Camacho,Match Report,,11,6,20.1,0,0,0,2024,Atletico,
7,13/09/2024,20:10,Liga MX,Apertura 2024 Regular Season,Fri,Away,L,0,1,UANL,0.4,0.9,64,,Javier Güemez,4-2-3-1,4-2-3-1,Martín Molina,Match Report,,13,2,25.3,0,0,0,2024,Atletico,
8,17/09/2024,19:00,Liga MX,Apertura 2024 Regular Season,Tue,Home,W,3,1,Cruz Azul,2.7,0.6,44,,Javier Güemez,4-2-3-1,3-1-4-2,Oscar Mejia,Match Report,,13,4,13.9,0,0,0,2024,Atletico,
9,21/09/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sat,Away,L,0,1,León,1.3,1.2,51,,Javier Güemez,4-3-1-2,04/04/2002,Luis García,Match Report,,10,1,17.1,1,0,0,2024,Atletico,
10,28/09/2024,21:10,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,3,1,Santos,1.6,1,58,,Ricardo Chávez Soto,04/04/2002,4-2-3-1,Maximiliano Quintero,Match Report,,16,9,14.5,1,0,0,2024,Atletico,
